Id,SalePrice
1461,121540.61731036937
1462,155923.2159396875
1463,181211.99607867643
1464,193922.11474776885
1465,195171.6342662
1466,170187.14574394448
1467,172084.75690791983
1468,164087.17197877387
1469,188833.08245728535
1470,121700.45593787469
1471,185460.34789429154
1472,96860.11113950083
1473,97166.74929190277
1474,141497.53325853703
1475,107192.55270409204
1476,365281.50105155446
1477,253153.4652962285
1478,284760.2165220891
1479,285500.68093454617
1480,494680.9842947611
1481,339576.3443677603
1482,216077.20969999448
1483,176280.18195036796
1484,161892.6136384084
1485,188758.07775692476
1486,192761.83997829017
1487,342408.0584268355
1488,236296.2912618483
1489,195614.40217327143
1490,242977.5506680761
1491,192210.04343076315
1492,91925.54363466722
1493,182059.38991035873
1494,290313.0237206458
1495,281587.21942183684
1496,235932.0806646127
1497,180116.954968115
1498,169313.00964993268
1499,160501.59462888722
1500,155941.82553702037
1501,176617.31365936133
1502,141942.3173410708
1503,283977.05206541606
1504,245887.77693153743
1505,231389.99330869163
1506,194104.2411612611
1507,243521.63337699266
1508,196928.48244740276
1509,161994.84031423312
1510,145405.4786787901
1511,154684.37579361556
1512,172990.59941346402
1513,143082.4930415522
1514,152020.69351830267
1515,193051.68918085264
1516,152277.05687445242
1517,165647.50406242962
1518,131410.04943949066
1519,212413.3591546361
1520,131590.3455721861
1521,132240.27853040086
1522,172572.8812408109
1523,112988.13687762455
1524,129461.45678745335
1525,121054.35630501452
1526,109041.55758123372
1527,106611.22856605165
1528,141293.77317460108
1529,154180.6728140946
1530,186185.0957764725
1531,104706.01733423298
1532,96707.35330532098
1533,148013.168714842
1534,126532.1665592926
1535,154861.55708295005
1536,105942.12058161054
1537,59959.77495497301
1538,149756.01107073415
1539,194444.36362285196
1540,89540.56254725355
1541,144200.82508558567
1542,140619.6401625886
1543,199235.33428871114
1544,86820.41176851281
1545,113342.67746219707
1546,129852.59686795625
1547,131431.53643341138
1548,137386.75925015018
1549,121395.21242662698
1550,129506.04630198806
1551,107099.07317704869
1552,135086.156447574
1553,150686.14055106216
1554,117814.01343231209
1555,167849.77075975345
1556,85125.25194558912
1557,103814.39990502941
1558,97283.880562143
1559,71791.7419331495
1560,126091.08408475114
1561,124230.33466942533
1562,125904.86387468009
1563,121281.08521372196
1564,162481.02416468103
1565,144284.82134122174
1566,243235.46294009866
1567,75955.25121929302
1568,238612.92124589387
1569,135178.13222721685
1570,141436.444572005
1571,123918.11145831076
1572,143306.56660082564
1573,248088.0569258077
1574,116925.92015946722
1575,234426.86926785338
1576,242687.27958939993
1577,177957.1322062348
1578,140656.42238011333
1579,152611.95263073448
1580,192514.1836037978
1581,152367.39609225944
1582,122892.01388023821
1583,301046.4992404352
1584,218748.07399455854
1585,137824.89161744944
1586,66006.0758604432
1587,105826.95572474033
1588,157616.76384044372
1589,92606.3702622441
1590,132128.0538005798
1591,96213.49784556868
1592,115538.25162424878
1593,122853.23524696247
1594,123104.46110270466
1595,109801.5259696679
1596,226639.64683173128
1597,197441.0937423586
1598,223220.88540090577
1599,161219.47799144176
1600,154481.8234909304
1601,62982.22126663213
1602,110760.00090377229
1603,76107.19572077003
1604,274391.8777000817
1605,237328.35159702916
1606,170591.34950772484
1607,173751.04589591382
1608,214860.2716463768
1609,180412.79200709818
1610,157926.15184969953
1611,137506.3639583568
1612,170068.58495075357
1613,166159.50568528636
1614,123269.84479642993
1615,94195.56339743514
1616,80050.25116489858
1617,90894.70852273966
1618,125965.51322201284
1619,139969.25468276447
1620,150111.36863422923
1621,138192.65119645526
1622,142830.082377413
1623,265522.4029274362
1624,209214.84094518787
1625,113543.74633774883
1626,163575.88641750827
1627,191708.03934609625
1628,274195.25080376526
1629,181218.66797265148
1630,364355.20147048746
1631,230823.10884754657
1632,245666.45036836568
1633,173289.86605483614
1634,189668.02728661202
1635,172512.86316827338
1636,149713.7093989005
1637,202044.4342262331
1638,183124.8153524254
1639,178956.39564285884
1640,255201.38122896908
1641,179513.90203441336
1642,237729.09559469137
1643,219305.54429096155
1644,234958.3626402736
1645,206692.77031478705
1646,157424.12108487196
1647,154860.26328151335
1648,129333.47598177998
1649,143103.87247968442
1650,111958.67081072052
1651,121752.24905830968
1652,98255.81000846872
1653,100446.02053881284
1654,141643.33215277214
1655,133278.25185196812
1656,138607.3159008502
1657,147427.70388724867
1658,141917.41694588342
1659,114027.83758253408
1660,148361.88651413744
1661,450669.7137727408
1662,405630.8626250849
1663,388571.3040178546
1664,511528.93876489537
1665,300353.0491486108
1666,341101.09330015426
1667,402420.808492967
1668,342730.2358300822
1669,298379.9364494359
